0,38.58,-92.58
1,41.2,-89.68
2,39.28,-87.4
3,41.78,-87.78
4,39.5,-90.08
5,38.38,-88
6,37.88,-86.08
7,37.88,-86
8,38,-84.58
9,36.5,-79.68
10,36.7,-79.9
11,38,-89
12,36.2,-78.78
13,39.88,-86.08
14,35.2,-80.9
15,35.28,-80.9
16,33.7,-84.68
17,38.88,-79.78
18,33.7,-84.4
19,33.88,-82.28
20,39.7,-93.18
21,39.58,-93.28
22,39.7,-94.78
23,39.78,-94
24,38.28,-96.18
25,39.38,-94.28
26,36.28,-96.5
27,36.28,-95.9
28,37.2,-98
29,31.7,-97.28
30,28.7,-82
31,34.58,-87
32,34.7,-86.9
33,33,-90.08
34,32.58,-96.78
35,29.68,-96.5
36,29,-96.68
37,32.7,-83.58
38,35.5,-95.5
39,34,-93.9
40,34.08,-93.68
41,33.7,-97.5
42,33.58,-97.78
43,35.58,-91.4
44,35.7,-91.28
45,35.58,-91.28
46,35.5,-90.4
47,31.78,-97
48,34.5,-92.28
49,33.7,-96.68
50,33.38,-96.9
51,33.2,-95
52,34.2,-92
53,33.7,-93.58
54,33.5,-95
55,34,-98.5
56,34.38,-79
57,33.7,-87.58
58,33.38,-87
59,32.78,-86.68
60,33,-85.9
61,33.2,-84.18
62,35.08,-81.08
63,31.28,-92.78
64,30.5,-99.78
65,35.58,-81.4
66,32.08,-98.28
67,30.28,-97.68
68,33.2,-86.58
69,37.2,-91
70,41.7,-79.5
71,41.38,-86.9
72,42.38,-91
73,37.88,-91.78
74,41.58,-86.68
75,41.7,-86
76,34.7,-96.78
77,35.2,-95.4
78,35.28,-95.58
79,32.5,-94.68
80,33.08,-93.9
81,32.88,-93.68
82,32.7,-93.28
83,37.08,-89.58
84,32.78,-98.9
85,33.2,-98.5
86,37.28,-96.68
87,33.08,-98.58
88,39,-94.5
89,39.38,-92.78
90,40.88,-94.18
91,38.78,-94.28
92,39,-91.58
93,35,-92.28
94,34.88,-81.28
95,35,-80.9
96,32.5,-85
97,34.5,-82
